lemma_key,lemma,entry_id,volume,variant_type
alternate denial,alternate denial,Bd01_A-B:0130:0170,Bd01_A-B,primary
alternative,Alternative,Bd01_A-B:0130:0171,Bd01_A-B,primary
alternative semantik,alternative Semantik,Bd07_Re-Te:0360:0284,Bd07_Re-Te,comma_inverted
althusius,Althusius,Bd01_A-B:0131:0172,Bd01_A-B,primary
althusser,Althusser,Bd01_A-B:0132:0173,Bd01_A-B,primary
altruismus,Altruismus,Bd01_A-B:0133:0174,Bd01_A-B,primary
alttextschule,Alttextschule,Bd01_A-B:0134:0175,Bd01_A-B,primary
alttextschule,Alttextschule,Bd04_Ins-Loc:0308:0222,Bd01_A-B,redirect_alias
amalrich,Amalrich,Bd01_A-B:0134:0176,Bd01_A-B,primary
ambiguitat,Ambiguität,Bd01_A-B:0134:0177,Bd01_A-B,primary
ambivalenz,Ambivalenz,Bd01_A-B:0136:0178,Bd01_A-B,primary
amelios gentilianus,Amelios Gentilianus,Bd01_A-B:0136:0179,Bd01_A-B,primary
amitābha,Amitābha,Bd01_A-B:0136:0180,Bd01_A-B,primary
amitābha,Amitābha,Bd06_O-Ra:0229:0193,Bd01_A-B,redirect_alias
ammonios hermeiu,Ammonios Hermeiu,Bd01_A-B:0136:0181,Bd01_A-B,primary
ammonios sakkas,Ammonios Sakkas,Bd01_A-B:0137:0182,Bd01_A-B,primary
amor dei intellectualis,amor dei intellectualis,Bd01_A-B:0137:0184,Bd01_A-B,primary
amor fati,amor fati,Bd01_A-B:0137:0185,Bd01_A-B,primary
amoralismus,Amoralismus,Bd01_A-B:0137:0183,Bd01_A-B,primary
ampere,Ampère,Bd01_A-B:0138:0186,Bd01_A-B,primary
amphibolie,Amphibolie,Bd01_A-B:0139:0187,Bd01_A-B,primary
an sich,an sich,Bd01_A-B:0175:0239,Bd01_A-B,primary
an und fur sich,an und für sich,Bd01_A-B:0195:0273,Bd01_A-B,primary
anagoge,Anagoge,Bd01_A-B:0139:0188,Bd01_A-B,primary
analecta,Analecta,Bd01_A-B:0139:0189,Bd01_A-B,primary
analecta,Analecta,Bd04_Ins-Loc:0310:0223,Bd01_A-B,redirect_alias
analogia entis,analogia entis,Bd01_A-B:0139:0190,Bd01_A-B,primary
analogie,Analogie,Bd01_A-B:0141:0191,Bd01_A-B,primary
analogien der erfahrung,Analogien der Erfahrung,Bd01_A-B:0142:0192,Bd01_A-B,primary
analogieschluss,Analogieschluß,Bd01_A-B:0143:0193,Bd01_A-B,primary
analogon,Analogon,Bd01_A-B:0143:0194,Bd01_A-B,primary
analyse,Analyse,Bd01_A-B:0143:0195,Bd01_A-B,primary
"analyse, logische","Analyse, logische",Bd01_A-B:0145:0196,Bd01_A-B,primary
analysis,Analysis,Bd01_A-B:0146:0197,Bd01_A-B,primary
analysis situs,Analysis situs,Bd01_A-B:0147:0198,Bd01_A-B,primary
analytik,Analytik,Bd01_A-B:0147:0199,Bd01_A-B,primary
"analytik, transzendentale","Analytik, transzendentale",Bd01_A-B:0147:0200,Bd01_A-B,primary
analytisch,analytisch,Bd01_A-B:0148:0201,Bd01_A-B,primary
analytische geometrie,analytische Geometrie,Bd03_G-Inn:0107:0077,Bd03_G-Inn,comma_inverted
analytische methode,analytische Methode,Bd05_Log-N:0403:0289,Bd05_Log-N,comma_inverted
analytische philosophie,analytische Philosophie,Bd06_O-Ra:0222:0190,Bd06_O-Ra,comma_inverted
analytische philosophie,analytische Philosophie,Bd01_A-B:0149:0202,Bd01_A-B,primary
analytische philosophie,analytische Philosophie,Bd06_O-Ra:0222:0190,Bd01_A-B,redirect_alias
analytische wissenschaftstheorie,analytische Wissenschaftstheorie,Bd08_Th-Z:0582:0542,Bd08_Th-Z,comma_inverted
analytische wissenschaftstheorie,analytische Wissenschaftstheorie,Bd01_A-B:0149:0203,Bd01_A-B,primary
analytisches urteil,analytisches Urteil,Bd08_Th-Z:0252:0214,Bd08_Th-Z,comma_inverted
analytizitatspostulat,Analytizitätspostulat,Bd01_A-B:0149:0204,Bd01_A-B,primary
anamnesis,Anamnesis,Bd01_A-B:0150:0205,Bd01_A-B,primary
anarchismus,Anarchismus,Bd01_A-B:0150:0206,Bd01_A-B,primary
"anarchismus, erkenntnistheoretischer","Anarchismus, erkenntnistheoretischer",Bd01_A-B:0152:0207,Bd01_A-B,primary
anarchistische erkenntnistheorie,anarchistische Erkenntnistheorie,Bd02_C-F:0397:0453,Bd02_C-F,comma_inverted
anatolios,Anatolios,Bd01_A-B:0152:0208,Bd01_A-B,primary
anaxagoras,Anaxagoras,Bd01_A-B:0152:0209,Bd01_A-B,primary
anaximander,Anaximander,Bd01_A-B:0153:0210,Bd01_A-B,primary
anaximenes,Anaximenes,Bd01_A-B:0155:0211,Bd01_A-B,primary
ancilla theologiae,ancilla theologiae,Bd01_A-B:0155:0212,Bd01_A-B,primary
"andere, das","Andere, das",Bd01_A-B:0156:0213,Bd01_A-B,primary
"andere, der","Andere, der",Bd01_A-B:0156:0214,Bd01_A-B,primary
andronikos,Andronikos,Bd01_A-B:0158:0215,Bd01_A-B,primary
anerkennung,Anerkennung,Bd01_A-B:0158:0216,Bd01_A-B,primary
anfang,Anfang,Bd01_A-B:0159:0217,Bd01_A-B,primary
anfangsbedingung,Anfangsbedingung,Bd01_A-B:0161:0218,Bd01_A-B,primary
anfangsregel,Anfangsregel,Bd01_A-B:0161:0219,Bd01_A-B,primary
anfuhrungszeichen,Anführungszeichen,Bd01_A-B:0162:0220,Bd01_A-B,primary
angeborene idee,angeborene Idee,Bd03_G-Inn:0541:0389,Bd03_G-Inn,comma_inverted
angelus silesius,Angelus Silesius,Bd01_A-B:0162:0221,Bd01_A-B,primary
angewandte ethik,angewandte Ethik,Bd02_C-F:0429:0476,Bd02_C-F,comma_inverted
angriff,Angriff,Bd01_A-B:0162:0222,Bd01_A-B,primary
angst,Angst,Bd01_A-B:0163:0223,Bd01_A-B,primary
anima,anima,Bd01_A-B:0164:0224,Bd01_A-B,primary
anima,anima,Bd07_Re-Te:0329:0264,Bd01_A-B,redirect_alias
animismus,Animismus,Bd01_A-B:0164:0225,Bd01_A-B,primary
anlage,Anlage,Bd01_A-B:0165:0226,Bd01_A-B,primary
anmut,Anmut,Bd01_A-B:0165:0227,Bd01_A-B,primary
annahme,Annahme,Bd01_A-B:0165:0228,Bd01_A-B,primary
annahmebeweis,Annahmebeweis,Bd01_A-B:0166:0229,Bd01_A-B,primary
annahmebeweis,Annahmebeweis,Bd04_Ins-Loc:0158:0105,Bd01_A-B,redirect_alias
annahmenkalkul,Annahmenkalkül,Bd01_A-B:0166:0230,Bd01_A-B,primary
annam. bhat.t.a,Annam. bhat.t.a,Bd01_A-B:0166:0231,Bd01_A-B,primary
anomalie,Anomalie,Bd01_A-B:0167:0232,Bd01_A-B,primary
anpassung,Anpassung,Bd01_A-B:0168:0233,Bd01_A-B,primary
anschauung,Anschauung,Bd01_A-B:0168:0234,Bd01_A-B,primary
"anschauung, intellektuelle","Anschauung, intellektuelle",Bd01_A-B:0170:0235,Bd01_A-B,primary
anschauungsraum,Anschauungsraum,Bd01_A-B:0170:0236,Bd01_A-B,primary
anschauungsraum,Anschauungsraum,Bd06_O-Ra:0618:0484,Bd01_A-B,redirect_alias
anscombe,Anscombe,Bd01_A-B:0170:0237,Bd01_A-B,primary
anselm von canterbury,Anselm von Canterbury,Bd01_A-B:0172:0238,Bd01_A-B,primary
antagonismus,Antagonismus,Bd01_A-B:0176:0240,Bd01_A-B,primary
antanhairesis,Antanhairesis,Bd01_A-B:0176:0241,Bd01_A-B,primary
antepradikamente,Anteprädikamente,Bd01_A-B:0176:0242,Bd01_A-B,primary
antezedens,Antezedens,Bd01_A-B:0177:0243,Bd01_A-B,primary
anthropisches prinzip,anthropisches Prinzip,Bd06_O-Ra:0450:0343,Bd06_O-Ra,comma_inverted
anthropologie,Anthropologie,Bd01_A-B:0177:0244,Bd01_A-B,primary
anthropologismus,Anthropologismus,Bd01_A-B:0181:0245,Bd01_A-B,primary
anthropomorphismus,Anthropomorphismus,Bd01_A-B:0181:0246,Bd01_A-B,primary
anthroposophie,Anthroposophie,Bd01_A-B:0182:0247,Bd01_A-B,primary
anthropozentrik,Anthropozentrik,Bd01_A-B:0182:0248,Bd01_A-B,slash_half
anthropozentrisch,anthropozentrisch,Bd01_A-B:0182:0248,Bd01_A-B,slash_half
anthropozentrisch/anthropozentrik,anthropozentrisch/Anthropozentrik,Bd01_A-B:0182:0248,Bd01_A-B,primary
anti-realismus,Anti-Realismus,Bd01_A-B:0191:0260,Bd01_A-B,primary
